Date,Player_1,Player_2,Winner
2015-02-03,Struff J.L.,Nieminen J.,Nieminen J.
2015-02-03,Roger-Vasselin E.,Beck A.,Roger-Vasselin E.
2015-02-03,Zopp J.,Sela D.,Sela D.
2015-02-03,Pouille L.,Kudryavtsev A.,Pouille L.
2015-02-03,Daniel T.,Mathieu P.H.,Mathieu P.H.
2015-02-03,Paire B.,Basilashvili N.,Paire B.
2015-02-04,Ito T.,Darcis S.,Darcis S.
2015-02-04,Sousa J.,Kamke T.,Sousa J.
2015-02-04,Roger-Vasselin E.,Simon G.,Simon G.
2015-02-04,Gasquet R.,Pouille L.,Gasquet R.
2015-02-04,Paire B.,Janowicz J.,Janowicz J.
2015-02-05,Darcis S.,Nieminen J.,Darcis S.
2015-02-05,Mathieu P.H.,Kohlschreiber P.,Kohlschreiber P.
2015-02-05,Monfils G.,De Schepper K.,Monfils G.
2015-02-05,Sela D.,Istomin D.,Istomin D.
2015-02-06,Janowicz J.,Simon G.,Janowicz J.
2015-02-06,Kohlschreiber P.,Sousa J.,Sousa J.
2015-02-06,Gasquet R.,Istomin D.,Gasquet R.
2015-02-06,Darcis S.,Monfils G.,Monfils G.
2015-02-07,Janowicz J.,Sousa J.,Janowicz J.
2015-02-07,Monfils G.,Gasquet R.,Gasquet R.
2015-02-02,Zeballos H.,Krajicek A.,Zeballos H.
2015-02-03,Arguello F.,Montanes A.,Montanes A.
2015-02-03,Falla A.,Souza J.,Falla A.
2015-02-03,Vanni L.,Lajovic D.,Lajovic D.
2015-02-03,Olivo R.,Donskoy E.,Olivo R.
2015-02-03,Haider-Maurer A.,Melzer G.,Melzer G.
2015-02-03,Jarry N.,Escobar G.,Jarry N.
2015-02-03,Menendez-Maceiras A.,Lorenzi P.,Lorenzi P.
2015-02-03,Gimeno-Traver D.,Fucsovics M.,Gimeno-Traver D.
2015-02-03,Bagnis F.,Gonzalez A.,Gonzalez A.
2015-02-03,Estrella Burgos V.,Ghem A.,Estrella Burgos V.
2015-02-04,Lapentti G.,Bellucci T.,Bellucci T.
2015-02-04,Montanes A.,Giraldo S.,Montanes A.
2015-02-04,Olivo R.,Estrella Burgos V.,Estrella Burgos V.
2015-02-04,Bellucci T.,Zeballos H.,Bellucci T.
2015-02-05,Gimeno-Traver D.,Klizan M.,Klizan M.
2015-02-05,Lopez F.,Gonzalez A.,Lopez F.
2015-02-05,Jarry N.,Lajovic D.,Lajovic D.
2015-02-05,Lorenzi P.,Falla A.,Lorenzi P.
2015-02-06,Melzer G.,Verdasco F.,Verdasco F.
2015-02-06,Bellucci T.,Montanes A.,Bellucci T.
2015-02-06,Klizan M.,Estrella Burgos V.,Estrella Burgos V.
2015-02-06,Lopez F.,Lajovic D.,Lopez F.
2015-02-07,Lorenzi P.,Verdasco F.,Verdasco F.
2015-02-07,Estrella Burgos V.,Bellucci T.,Estrella Burgos V.
2015-02-07,Verdasco F.,Lopez F.,Lopez F.
2015-02-08,Estrella Burgos V.,Lopez F.,Estrella Burgos V.
2015-02-02,Lacko L.,Berankis R.,Berankis R.
2015-02-02,Stakhovsky S.,Coric B.,Stakhovsky S.
2015-02-03,Bachinger M.,Soeda G.,Soeda G.
2015-02-03,Troicki V.,Marchenko I.,Troicki V.
2015-02-03,Berrer M.,Dzumhur D.,Dzumhur D.
2015-02-03,Youzhny M.,Kavcic B.,Youzhny M.
2015-02-03,Androic T.,Baghdatis M.,Baghdatis M.
2015-02-03,Seppi A.,Haase R.,Seppi A.
2015-02-04,Dancevic F.,Sijsling I.,Sijsling I.
2015-02-04,Ward J.,Veic A.,Ward J.
2015-02-04,Melzer J.,Granollers M.,Granollers M.
2015-02-04,Dodig I.,Delic M.,Dodig I.
2015-02-04,Stakhovsky S.,Youzhny M.,Youzhny M.
2015-02-04,Baghdatis M.,Karlovic I.,Baghdatis M.
2015-02-05,Ward J.,Seppi A.,Seppi A.
2015-02-05,Troicki V.,Soeda G.,Troicki V.
2015-02-05,Dzumhur D.,Garcia-Lopez G.,Garcia-Lopez G.
2015-02-05,Berankis R.,Muller G.,Berankis R.
2015-02-05,Dodig I.,Granollers M.,Granollers M.
2015-02-05,Sijsling I.,Mannarino A.,Sijsling I.
2015-02-06,Troicki V.,Garcia-Lopez G.,Garcia-Lopez G.
2015-02-06,Seppi A.,Berankis R.,Seppi A.
2015-02-06,Youzhny M.,Baghdatis M.,Baghdatis M.
2015-02-06,Granollers M.,Sijsling I.,Granollers M.
2015-02-07,Baghdatis M.,Garcia-Lopez G.,Garcia-Lopez G.
2015-02-07,Seppi A.,Granollers M.,Seppi A.
2015-02-08,Seppi A.,Garcia-Lopez G.,Garcia-Lopez G.
2015-02-09,Dodig I.,Gabashvili T.,Dodig I.
2015-02-09,Mannarino A.,Young D.,Young D.
2015-02-09,Brown D.,Matosevic M.,Brown D.
2015-02-10,Kozlov S.,Donaldson J.,Donaldson J.
2015-02-10,Karlovic I.,Lacko L.,Karlovic I.
2015-02-10,Sijsling I.,Tomic B.,Tomic B.
2015-02-10,Harrison R.,Jaziri M.,Harrison R.
2015-02-10,Kukushkin M.,Krajicek A.,Krajicek A.
2015-02-10,Kudla D.,Kokkinakis T.,Kudla D.
2015-02-10,Lu Y.H.,Groth S.,Groth S.
2015-02-11,Querrey S.,Becker B.,Querrey S.
